Name_of_Covered_Entity,State,Covered_Entity_Type,Individuals_Affected,Breach_Submission_Date,Breach_Date,Type_of_Breach,Location_of_Breached_Information,Status,Year,Days_to_Report
Community Surgical Center,PA,Healthcare Provider,10278,06/22/2016,12/29/2015,Hacking/IT Incident,Network Server,Archived,2015,176
Beacon Dental Group,TN,Healthcare Provider,3260,08/17/2015,03/09/2015,Hacking/IT Incident,Network Server,Archived,2015,161
Valley Medical Center,ME,Healthcare Provider,3784,09/25/2015,08/28/2015,Unauthorized Access/Disclosure,Network Server,Archived,2015,28
Pacific Clinical Associates,OK,Healthcare Provider,2571,09/07/2015,04/08/2015,Unauthorized Access/Disclosure,Desktop Computer,Archived,2015,152
MedBridge Analytics,TN,Business Associate,500,02/15/2015,01/08/2015,Unauthorized Access/Disclosure,Email,Archived,2015,38
Harmony Health Services,ND,Healthcare Provider,547,11/17/2015,08/21/2015,Hacking/IT Incident,Network Server,Archived,2015,88
Summit Medical Center,MS,Healthcare Provider,500,07/09/2015,01/26/2015,Other,Network Server,Archived,2015,164
Mercy Health Network,NE,Healthcare Provider,665,02/25/2016,12/12/2015,Unauthorized Access/Disclosure,Email,Archived,2015,75
NovaCare Systems,AZ,Business Associate,500,12/29/2015,09/25/2015,Theft,Network Server,Archived,2015,95
University Hospital,VT,Healthcare Provider,500,10/13/2015,06/03/2015,Unauthorized Access/Disclosure,Other,Archived,2015,132
HealthVault Systems,AL,Business Associate,29684,07/30/2015,06/28/2015,Hacking/IT Incident,Desktop Computer,Archived,2015,32
Trinity Healthcare,NM,Healthcare Provider,1323,04/29/2016,12/01/2015,Improper Disposal,Network Server,Archived,2015,150
St. Mary's Home Health,AZ,Healthcare Provider,835,01/13/2016,11/06/2015,Unauthorized Access/Disclosure,Laptop,Archived,2015,68
Humana Health Plan,NH,Health Plan,24515,04/12/2015,01/02/2015,Hacking/IT Incident,Network Server,Archived,2015,100
HealthBridge IT Services,DE,Business Associate,1802,04/02/2015,02/27/2015,Hacking/IT Incident,Network Server,Archived,2015,34
Community Rehabilitation Center,AL,Healthcare Provider,45262,09/25/2015,08/09/2015,Hacking/IT Incident,Network Server,Archived,2015,47
MedSecure Solutions,TN,Business Associate,745,01/07/2016,11/14/2015,Hacking/IT Incident,Paper/Films,Archived,2015,54
Cigna Healthcare,OR,Health Plan,23916,07/11/2015,04/02/2015,Hacking/IT Incident,Paper/Films,Archived,2015,100
Providence Health Plan,DC,Healthcare Provider,500,12/06/2015,08/24/2015,Hacking/IT Incident,Network Server,Archived,2015,104
Horizon Hospital,KY,Healthcare Provider,1993,09/04/2015,05/23/2015,Hacking/IT Incident,Other,Archived,2015,104
Anthem Blue Cross,CO,Health Plan,545,11/22/2015,08/11/2015,Theft,Email,Archived,2015,103
Wellspring Pharmacy,CA,Healthcare Provider,2344,06/06/2015,05/11/2015,Theft,Other Portable Electronic Device,Archived,2015,26
HealthFirst IT,MN,Business Associate,14438,09/10/2015,08/09/2015,Hacking/IT Incident,Desktop Computer,Archived,2015,32
Sacred Heart Pharmacy,DE,Healthcare Provider,178892,10/05/2015,06/08/2015,Hacking/IT Incident,Network Server,Archived,2015,119
Trinity Family Practice,CA,Healthcare Provider,8433,09/30/2015,06/04/2015,Hacking/IT Incident,Paper/Films,Archived,2015,118
Beacon Medical Group,AR,Healthcare Provider,3319,12/21/2015,08/15/2015,Theft,Network Server,Archived,2015,128
Atlantic Health Services,MA,Healthcare Provider,2785,05/03/2015,02/17/2015,Hacking/IT Incident,Network Server,Archived,2015,75
Atlantic Mental Health Services,NH,Healthcare Provider,18186,06/18/2015,02/07/2015,Unauthorized Access/Disclosure,Network Server,Archived,2015,131
Wellspring Eye Care,DE,Healthcare Provider,44305,06/27/2015,02/24/2015,Hacking/IT Incident,Network Server,Archived,2015,123
Pinnacle Healthcare Clearinghouse,ID,Healthcare Clearinghouse,3079,01/23/2016,08/26/2015,Other,Laptop,Archived,2015,150
Centene Corp,NM,Health Plan,1004,01/18/2016,09/16/2015,Loss,Electronic Medical Record,Archived,2015,124
Wellspring Urgent Care,WY,Healthcare Provider,500,11/01/2015,05/07/2015,Theft,Network Server,Archived,2015,178
Central Health Services,KS,Healthcare Provider,1079,08/28/2015,05/20/2015,Hacking/IT Incident,Network Server,Archived,2015,100
United Medical Center,UT,Healthcare Provider,138639,11/28/2015,08/01/2015,Hacking/IT Incident,Network Server,Archived,2015,119
HealthFirst IT,VT,Business Associate,500,01/12/2016,12/23/2015,Unauthorized Access/Disclosure,Network Server,Archived,2015,20
WellCare Health Plans,KS,Health Plan,500,01/02/2016,08/03/2015,Loss,Email,Archived,2015,152
Summit Eye Care,KY,Healthcare Provider,2817,10/28/2015,07/19/2015,Improper Disposal,Other,Archived,2015,101
American Health Services,IL,Healthcare Provider,500,04/07/2016,10/31/2015,Loss,Network Server,Archived,2015,159
Good Samaritan Dental Group,LA,Healthcare Provider,51782,11/27/2015,08/21/2015,Hacking/IT Incident,Network Server,Archived,2015,98
Cigna Healthcare,TN,Health Plan,500,12/25/2015,11/30/2015,Loss,Email,Archived,2015,25
PrimeHealth Analytics,UT,Business Associate,143142,08/06/2015,02/28/2015,Hacking/IT Incident,Network Server,Archived,2015,159
Trinity Health Network,TX,Healthcare Provider,500,06/27/2015,03/25/2015,Theft,Other Portable Electronic Device,Archived,2015,94
Mercy Healthcare,NH,Healthcare Provider,12558,07/24/2015,02/08/2015,Theft,Network Server,Archived,2015,166
Advanced Health System,OK,Healthcare Provider,8407,11/11/2015,10/17/2015,Unauthorized Access/Disclosure,Network Server,Archived,2015,25
Wellspring Clinical Associates,ND,Healthcare Provider,4107,02/21/2016,12/29/2015,Theft,Laptop,Archived,2015,54
Central Clinical Associates,TN,Healthcare Provider,868,01/22/2016,10/31/2015,Loss,Network Server,Archived,2015,83
Pacific Urgent Care,CO,Healthcare Provider,500,10/23/2015,07/14/2015,Hacking/IT Incident,Paper/Films,Archived,2015,101
Atlantic Health System,MS,Healthcare Provider,6305,03/20/2016,12/26/2015,Hacking/IT Incident,Network Server,Archived,2015,85
Regional Health System,CT,Healthcare Provider,500,02/28/2016,09/01/2015,Hacking/IT Incident,Network Server,Archived,2015,180
American Pharmacy,SC,Healthcare Provider,1719,11/21/2015,07/08/2015,Hacking/IT Incident,Electronic Medical Record,Archived,2015,136
Pacific Physicians Group,AK,Healthcare Provider,5529,05/06/2015,03/03/2015,Hacking/IT Incident,Email,Archived,2015,64
Pacific Family Practice,AL,Healthcare Provider,9000,04/26/2015,02/21/2015,Hacking/IT Incident,Email,Archived,2015,64
DataSync Health IT,NV,Business Associate,952,08/31/2015,03/06/2015,Loss,Email,Archived,2015,178
Mountain Health System,IA,Healthcare Provider,1559,05/03/2015,04/05/2015,Unauthorized Access/Disclosure,Network Server,Archived,2015,28
SecureHealth Corp,IL,Business Associate,28091,08/24/2015,03/18/2015,Hacking/IT Incident,Paper/Films,Archived,2015,159
Trinity Health Network,CT,Healthcare Provider,2435,09/21/2015,04/26/2015,Other,Network Server,Archived,2015,148
Central Medical Group,IN,Healthcare Provider,670,04/29/2015,02/20/2015,Hacking/IT Incident,Email,Archived,2015,68
Providence Family Practice,NY,Healthcare Provider,751,06/03/2016,12/19/2015,Theft,Electronic Medical Record,Archived,2015,167
American Healthcare,WA,Healthcare Provider,500,11/07/2015,05/16/2015,Unauthorized Access/Disclosure,Email,Archived,2015,175
Trinity Mental Health Services,UT,Healthcare Provider,1077,01/15/2016,10/19/2015,Improper Disposal,Email,Archived,2015,88
Humana Health Plan,ID,Health Plan,357701,05/26/2015,01/21/2015,Hacking/IT Incident,Network Server,Archived,2015,125
Good Samaritan Healthcare Clearinghouse,RI,Healthcare Clearinghouse,500,11/17/2015,10/28/2015,Unauthorized Access/Disclosure,Paper/Films,Archived,2015,20
American Urgent Care,WV,Healthcare Provider,774,11/09/2015,08/15/2015,Other,Email,Archived,2015,86
Harmony Family Practice,DE,Healthcare Provider,500,04/20/2015,02/23/2015,Theft,Network Server,Archived,2015,56
NovaCare Systems,CA,Business Associate,500,06/27/2015,03/01/2015,Loss,Email,Archived,2015,118
National Physicians Group,VT,Healthcare Provider,4656,04/05/2016,11/15/2015,Hacking/IT Incident,Network Server,Archived,2015,142
UnitedHealth Group,SD,Health Plan,3270,05/07/2016,11/19/2015,Hacking/IT Incident,Network Server,Archived,2015,170
MedSecure Solutions,ME,Business Associate,500,07/11/2015,02/28/2015,Hacking/IT Incident,Other Portable Electronic Device,Archived,2015,133
Guardian Healthcare Clearinghouse,TN,Healthcare Clearinghouse,9972,12/17/2015,08/01/2015,Unauthorized Access/Disclosure,Network Server,Archived,2015,138
United Surgical Center,DC,Healthcare Provider,3464,04/12/2015,03/11/2015,Improper Disposal,Email,Archived,2015,32
Harmony Health Services,MT,Healthcare Provider,500,11/14/2015,06/02/2015,Unauthorized Access/Disclosure,Email,Archived,2015,165
PrimeHealth Analytics,WA,Business Associate,39068,11/21/2015,07/13/2015,Hacking/IT Incident,Network Server,Archived,2015,131
Integrated Health Services,LA,Healthcare Provider,1112,10/26/2015,06/12/2015,Unauthorized Access/Disclosure,Network Server,Archived,2015,136
Memorial Health Services,UT,Healthcare Provider,500,06/28/2015,02/21/2015,Unauthorized Access/Disclosure,Electronic Medical Record,Archived,2015,127
Central Surgical Center,KY,Healthcare Provider,697,08/25/2015,05/16/2015,Loss,Desktop Computer,Archived,2015,101
Mercy Family Practice,PA,Healthcare Provider,908,02/07/2016,09/07/2015,Other,Electronic Medical Record,Archived,2015,153
Trinity Hospital,DE,Healthcare Provider,1581,12/31/2015,11/21/2015,Hacking/IT Incident,Paper/Films,Archived,2015,40
Pacific Medical Group,NE,Healthcare Provider,1377,06/01/2015,03/16/2015,Hacking/IT Incident,Email,Archived,2015,77
St. Mary's Eye Care,UT,Healthcare Provider,10134,02/23/2016,09/12/2015,Hacking/IT Incident,Network Server,Archived,2015,164
American Healthcare Clearinghouse,WI,Healthcare Clearinghouse,681,11/26/2015,08/15/2015,Theft,Email,Archived,2015,103
Alliance Clinical Associates,MT,Healthcare Provider,16795,08/30/2015,06/01/2015,Hacking/IT Incident,Desktop Computer,Archived,2015,90
St. Mary's Health Services,HI,Healthcare Provider,1891,09/09/2015,06/30/2015,Theft,Laptop,Archived,2015,71
Lakeside Health System,ND,Healthcare Provider,835,09/06/2015,08/14/2015,Improper Disposal,Network Server,Archived,2015,23
Summit Clinical Associates,MO,Healthcare Provider,6040,01/20/2016,10/04/2015,Improper Disposal,Other Portable Electronic Device,Archived,2015,108
Riverside Health Plan,PA,Healthcare Provider,3773,08/06/2015,06/23/2015,Loss,Electronic Medical Record,Archived,2015,44
Guardian Rehabilitation Center,GA,Healthcare Provider,3734,08/09/2015,07/22/2015,Theft,Electronic Medical Record,Archived,2015,18
Regional Pharmacy,IA,Healthcare Provider,19722,08/21/2015,07/10/2015,Hacking/IT Incident,Email,Archived,2015,42
Lakeside Medical Center,GA,Healthcare Provider,1073,11/26/2015,08/26/2015,Improper Disposal,Network Server,Archived,2015,92
United Health Network,AL,Healthcare Provider,859,11/21/2015,10/03/2015,Theft,Network Server,Archived,2015,49
Community Rehabilitation Center,MO,Healthcare Provider,1187,02/27/2016,09/08/2015,Hacking/IT Incident,Network Server,Archived,2015,172
Premier Medical Center,ME,Healthcare Provider,776,04/05/2016,12/18/2015,Unauthorized Access/Disclosure,Network Server,Archived,2015,109
National Surgical Center,TX,Healthcare Provider,6234,05/21/2016,11/25/2015,Hacking/IT Incident,Network Server,Archived,2015,178
Horizon Health Services,MA,Healthcare Provider,2599,12/18/2015,10/11/2015,Theft,Email,Archived,2015,68
Mercy Health Network,DC,Healthcare Provider,6987,03/03/2015,01/14/2015,Hacking/IT Incident,Network Server,Archived,2015,48
WellCare Health Plans,AR,Health Plan,5629,01/08/2016,09/01/2015,Hacking/IT Incident,Email,Archived,2015,129
American Healthcare Clearinghouse,KY,Healthcare Clearinghouse,500,02/15/2015,01/16/2015,Theft,Email,Archived,2015,30
Pinnacle Mental Health Services,NH,Healthcare Provider,810,03/22/2015,02/03/2015,Other,Email,Archived,2015,47
HealthBridge IT Services,ME,Business Associate,500,04/05/2015,02/20/2015,Theft,Electronic Medical Record,Archived,2015,44
Alliance Dental Group,UT,Healthcare Provider,573,08/25/2015,04/27/2015,Theft,Network Server,Archived,2015,120
Central Dental Group,IL,Healthcare Provider,54788,08/03/2015,03/20/2015,Hacking/IT Incident,Electronic Medical Record,Archived,2015,136
Mountain Dental Group,MT,Healthcare Provider,1633,04/03/2016,10/28/2015,Unauthorized Access/Disclosure,Electronic Medical Record,Archived,2015,158
Beacon Health Plan,MT,Healthcare Provider,1291,03/15/2016,10/23/2015,Loss,Network Server,Archived,2015,144
Regional Clinical Associates,OK,Healthcare Provider,2632,10/31/2015,05/23/2015,Hacking/IT Incident,Network Server,Archived,2015,161
Riverside Hospital,PA,Healthcare Provider,2258,08/21/2015,03/15/2015,Hacking/IT Incident,Email,Archived,2015,159
Central Medical Center,CO,Healthcare Provider,3502,07/09/2015,03/22/2015,Hacking/IT Incident,Paper/Films,Archived,2015,109
Legacy Healthcare,AZ,Healthcare Provider,22090,03/14/2016,11/07/2015,Hacking/IT Incident,Network Server,Archived,2015,128
National Hospital,KY,Healthcare Provider,240260,12/29/2015,09/27/2015,Hacking/IT Incident,Other Portable Electronic Device,Archived,2015,93
American Medical Group,NV,Healthcare Provider,602,09/04/2015,05/29/2015,Hacking/IT Incident,Email,Archived,2015,98
Community Dental Group,AK,Healthcare Provider,91910,03/23/2016,12/09/2015,Hacking/IT Incident,Other Portable Electronic Device,Archived,2015,105
Sacred Heart Healthcare,OR,Healthcare Provider,787,02/16/2016,10/21/2015,Unauthorized Access/Disclosure,Other,Archived,2015,118
Mercy Dental Group,OH,Healthcare Provider,743,08/11/2015,07/05/2015,Unauthorized Access/Disclosure,Email,Archived,2015,37
University Home Health,NJ,Healthcare Provider,500,09/02/2015,06/23/2015,Theft,Email,Archived,2015,71
Aetna Health Plan,TN,Health Plan,21273,12/26/2015,06/29/2015,Hacking/IT Incident,Network Server,Archived,2015,180
Harmony Eye Care,WY,Healthcare Provider,500,01/05/2016,12/02/2015,Theft,Paper/Films,Archived,2015,34
Pinnacle Surgical Center,HI,Healthcare Provider,3698,04/13/2016,10/17/2015,Hacking/IT Incident,Network Server,Archived,2015,179
University Family Practice,AR,Healthcare Provider,682,11/03/2015,05/21/2015,Unauthorized Access/Disclosure,Network Server,Archived,2015,166
Integrated Eye Care,AR,Healthcare Provider,12802,01/04/2016,11/27/2015,Unauthorized Access/Disclosure,Other Portable Electronic Device,Archived,2015,38
Riverside Medical Center,AR,Healthcare Provider,500,07/13/2015,04/07/2015,Unauthorized Access/Disclosure,Paper/Films,Archived,2015,97
Wellspring Home Health,CT,Healthcare Provider,6346,04/09/2015,01/21/2015,Theft,Network Server,Archived,2015,78
Horizon Health System,NH,Healthcare Provider,2920,12/08/2015,06/23/2015,Hacking/IT Incident,Email,Archived,2015,168
DataSync Health IT,MN,Business Associate,2540,05/20/2016,12/03/2015,Unauthorized Access/Disclosure,Network Server,Archived,2015,169
Horizon Health Services,LA,Healthcare Provider,7732,12/07/2015,11/01/2015,Theft,Paper/Films,Archived,2015,36
Legacy Rehabilitation Center,OK,Healthcare Provider,51617,11/04/2015,09/27/2015,Hacking/IT Incident,Network Server,Archived,2015,38
Riverside Health System,NC,Healthcare Provider,5204,11/09/2015,09/06/2015,Hacking/IT Incident,Paper/Films,Archived,2015,64
Lakeside Mental Health Services,WY,Healthcare Provider,28658,10/21/2015,09/27/2015,Hacking/IT Incident,Network Server,Archived,2015,24
Mercy Eye Care,AL,Healthcare Provider,2845,07/31/2015,03/26/2015,Theft,Paper/Films,Archived,2015,127
RxTech Solutions,DC,Business Associate,3191,08/05/2015,05/03/2015,Improper Disposal,Network Server,Archived,2015,94
Anthem Blue Cross,WY,Health Plan,500,12/25/2015,08/14/2015,Unauthorized Access/Disclosure,Network Server,Archived,2015,133
NovaCare Systems,FL,Business Associate,1149,12/26/2015,11/06/2015,Unauthorized Access/Disclosure,Network Server,Archived,2015,50
Riverside Dental Group,AR,Healthcare Provider,61346,04/09/2015,02/12/2015,Hacking/IT Incident,Laptop,Archived,2015,56
Central Rehabilitation Center,LA,Healthcare Provider,2535,12/12/2015,07/22/2015,Hacking/IT Incident,Network Server,Archived,2015,143
PrimeHealth Analytics,IA,Business Associate,891,04/18/2015,01/20/2015,Loss,Paper/Films,Archived,2015,88
Wellspring Dental Group,MI,Healthcare Provider,2400,03/01/2015,02/10/2015,Hacking/IT Incident,Network Server,Archived,2015,19
Aetna Health Plan,UT,Health Plan,6887,01/28/2016,08/03/2015,Hacking/IT Incident,Laptop,Archived,2015,178
Sacred Heart Dental Group,MI,Healthcare Provider,6623,03/01/2016,09/21/2015,Hacking/IT Incident,Network Server,Archived,2015,162
University Home Health,AL,Healthcare Provider,1118,01/14/2016,12/09/2015,Unauthorized Access/Disclosure,Paper/Films,Archived,2015,36
St. Mary's Hospital,AL,Healthcare Provider,500,09/24/2015,08/29/2015,Unauthorized Access/Disclosure,Network Server,Archived,2015,26
UnitedHealth Group,MN,Health Plan,18105,08/05/2015,02/23/2015,Hacking/IT Incident,Email,Archived,2015,163
Pacific Healthcare Clearinghouse,IA,Healthcare Clearinghouse,4066,04/28/2016,12/17/2015,Loss,Network Server,Archived,2015,133
Community Surgical Center,WA,Healthcare Provider,500,08/05/2015,05/31/2015,Improper Disposal,Email,Archived,2015,66
National Surgical Center,WY,Healthcare Provider,3427,07/05/2015,04/08/2015,Hacking/IT Incident,Paper/Films,Archived,2015,88
Harmony Urgent Care,VA,Healthcare Provider,570,12/05/2015,08/14/2015,Unauthorized Access/Disclosure,Paper/Films,Archived,2015,113
Sacred Heart Surgical Center,VA,Healthcare Provider,1386,09/10/2015,08/06/2015,Hacking/IT Incident,Network Server,Archived,2015,35
Liberty Medical Center,SC,Healthcare Provider,1850,10/03/2015,08/07/2015,Theft,Laptop,Archived,2015,57
Alliance Rehabilitation Center,NH,Healthcare Provider,17804,12/23/2015,11/24/2015,Unauthorized Access/Disclosure,Electronic Medical Record,Archived,2015,29
Advanced Rehabilitation Center,TN,Healthcare Provider,2546,09/05/2015,08/13/2015,Unauthorized Access/Disclosure,Email,Archived,2015,23
Lakeside Home Health,PA,Healthcare Provider,1859,10/27/2015,07/09/2015,Unauthorized Access/Disclosure,Network Server,Archived,2015,110
Centene Corp,SD,Health Plan,1494,05/23/2015,03/02/2015,Hacking/IT Incident,Email,Archived,2015,82
Liberty Health System,SD,Healthcare Provider,3634,06/17/2015,02/07/2015,Loss,Other,Archived,2015,130
PrimeHealth Analytics,SD,Business Associate,5107,08/28/2015,05/29/2015,Improper Disposal,Email,Archived,2015,91
Centene Corp,TN,Health Plan,500,05/09/2015,03/04/2015,Hacking/IT Incident,Email,Archived,2015,66
University Family Practice,IL,Healthcare Provider,999,11/27/2015,10/10/2015,Unauthorized Access/Disclosure,Electronic Medical Record,Archived,2015,48
University Eye Care,CO,Healthcare Provider,1510,01/07/2016,07/29/2015,Unauthorized Access/Disclosure,Email,Archived,2015,162
Mountain Home Health,FL,Healthcare Provider,605,07/11/2015,03/08/2015,Hacking/IT Incident,Network Server,Archived,2015,125
HealthVault Systems,IL,Business Associate,624,11/21/2015,06/27/2015,Hacking/IT Incident,Other Portable Electronic Device,Archived,2015,147
Summit Health Network,ME,Healthcare Provider,4732,04/10/2016,11/11/2015,Improper Disposal,Network Server,Archived,2015,151
CloudMed Solutions,NE,Business Associate,1931,02/15/2016,11/06/2015,Loss,Network Server,Archived,2015,101
Harmony Pharmacy,TX,Healthcare Provider,3642,02/18/2016,10/20/2015,Hacking/IT Incident,Other Portable Electronic Device,Archived,2015,121
National Medical Group,PA,Healthcare Provider,500,04/13/2016,12/17/2015,Unauthorized Access/Disclosure,Email,Archived,2015,118
Anthem Blue Cross,SC,Health Plan,6705,09/14/2015,06/10/2015,Hacking/IT Incident,Network Server,Archived,2015,96
Riverside Healthcare,TN,Healthcare Provider,42080,10/12/2015,08/27/2015,Hacking/IT Incident,Other Portable Electronic Device,Archived,2015,46
CarePoint Technologies,ND,Business Associate,65358,06/29/2015,03/23/2015,Hacking/IT Incident,Network Server,Archived,2015,98
Heritage Health Network,TN,Healthcare Provider,980,06/11/2015,02/16/2015,Unauthorized Access/Disclosure,Network Server,Archived,2015,115
Valley Dental Group,CA,Healthcare Provider,2271,04/14/2016,12/01/2015,Hacking/IT Incident,Network Server,Archived,2015,135
Atlantic Rehabilitation Center,NM,Healthcare Provider,1148,05/21/2015,01/24/2015,Unauthorized Access/Disclosure,Network Server,Archived,2015,117
Lakeside Healthcare,GA,Healthcare Provider,2487,11/14/2015,05/24/2015,Unauthorized Access/Disclosure,Paper/Films,Archived,2015,174
Community Health Services,NY,Healthcare Provider,1162,01/13/2016,09/18/2015,Theft,Paper/Films,Archived,2015,117
Pinnacle Medical Group,HI,Healthcare Provider,9604,11/10/2015,09/21/2015,Unauthorized Access/Disclosure,Email,Archived,2015,50
Trinity Urgent Care,SD,Healthcare Provider,3164,02/09/2016,09/17/2015,Loss,Network Server,Archived,2015,145
St. Mary's Health Network,IA,Healthcare Provider,1420,06/12/2016,12/19/2015,Unauthorized Access/Disclosure,Electronic Medical Record,Archived,2015,176
UnitedHealth Group,LA,Health Plan,2045,05/10/2016,11/19/2015,Loss,Network Server,Archived,2015,173
Riverside Dental Group,OR,Healthcare Provider,500,04/27/2015,04/08/2015,Theft,Network Server,Archived,2015,19
Pacific Eye Care,CO,Healthcare Provider,500,04/21/2016,12/06/2015,Improper Disposal,Network Server,Archived,2015,137
WellCare Health Plans,IN,Health Plan,500,06/11/2016,12/15/2015,Unauthorized Access/Disclosure,Other Portable Electronic Device,Archived,2015,179
Harmony Surgical Center,DE,Healthcare Provider,500,08/29/2015,06/02/2015,Unauthorized Access/Disclosure,Email,Archived,2015,88
MedSecure Solutions,KY,Business Associate,14467,01/26/2016,10/06/2015,Hacking/IT Incident,Paper/Films,Archived,2015,112
HealthVault Systems,DE,Business Associate,7282,12/26/2015,10/03/2015,Hacking/IT Incident,Email,Archived,2015,84
National Healthcare,MA,Healthcare Provider,7056,05/07/2016,12/09/2015,Unauthorized Access/Disclosure,Electronic Medical Record,Archived,2015,150
Sacred Heart Surgical Center,VT,Healthcare Provider,69684,01/16/2016,09/01/2015,Hacking/IT Incident,Network Server,Archived,2015,137
UnitedHealth Group,NY,Health Plan,500,09/27/2015,04/29/2015,Unauthorized Access/Disclosure,Desktop Computer,Archived,2015,151
Valley Surgical Center,NE,Healthcare Provider,6591,06/22/2015,05/29/2015,Hacking/IT Incident,Other,Archived,2015,24
Mountain Surgical Center,WA,Healthcare Provider,1766,08/01/2015,03/10/2015,Hacking/IT Incident,Email,Archived,2015,144
Atlantic Medical Group,VT,Healthcare Provider,716,09/20/2015,06/22/2015,Theft,Email,Archived,2015,90
Pacific Health Services,OH,Healthcare Provider,500,07/24/2015,06/17/2015,Unauthorized Access/Disclosure,Other Portable Electronic Device,Archived,2015,37
HealthFirst IT,WI,Business Associate,3972,11/08/2015,08/17/2015,Theft,Network Server,Archived,2015,83
Alliance Home Health,NJ,Healthcare Provider,10322,03/18/2015,02/01/2015,Improper Disposal,Laptop,Archived,2015,45
Providence Health Services,MA,Healthcare Provider,8170,02/22/2016,11/24/2015,Unauthorized Access/Disclosure,Email,Archived,2015,90
ClinicalPath Software,VT,Business Associate,9027,05/29/2016,12/26/2015,Loss,Paper/Films,Archived,2015,155
Advanced Health System,MS,Healthcare Provider,500,12/07/2015,11/02/2015,Improper Disposal,Network Server,Archived,2015,35
DataSync Health IT,CT,Business Associate,825,07/02/2015,03/26/2015,Theft,Electronic Medical Record,Archived,2015,98
United Eye Care,AR,Healthcare Provider,2085,09/15/2015,08/17/2015,Unauthorized Access/Disclosure,Email,Archived,2015,29
Heritage Health Network,CA,Healthcare Provider,21991,05/08/2015,01/12/2015,Hacking/IT Incident,Network Server,Archived,2015,116
Community Healthcare Clearinghouse,IA,Healthcare Clearinghouse,500,03/04/2015,01/31/2015,Hacking/IT Incident,Network Server,Archived,2015,32
Liberty Mental Health Services,LA,Healthcare Provider,2707,03/28/2016,11/27/2015,Unauthorized Access/Disclosure,Electronic Medical Record,Archived,2015,122
Alliance Home Health,KS,Healthcare Provider,546684,03/14/2016,12/01/2015,Hacking/IT Incident,Other,Archived,2015,104
American Pharmacy,KS,Healthcare Provider,972,10/13/2015,06/02/2015,Unauthorized Access/Disclosure,Network Server,Archived,2015,133
United Hospital,MT,Healthcare Provider,8798,05/20/2015,04/07/2015,Hacking/IT Incident,Network Server,Archived,2015,43
Alliance Eye Care,NY,Healthcare Provider,5008,01/07/2016,12/11/2015,Hacking/IT Incident,Network Server,Archived,2015,27
Pinnacle Health Plan,WY,Healthcare Provider,9953,01/26/2016,10/22/2015,Hacking/IT Incident,Network Server,Archived,2015,96
Pacific Dental Group,WV,Healthcare Provider,500,08/27/2015,06/03/2015,Unauthorized Access/Disclosure,Network Server,Archived,2015,85
United Health Services,OR,Healthcare Provider,5833,12/11/2015,07/15/2015,Hacking/IT Incident,Network Server,Archived,2015,149
VitalConnect Inc,MI,Business Associate,746,07/26/2015,04/26/2015,Unauthorized Access/Disclosure,Network Server,Archived,2015,91
Heritage Surgical Center,IN,Healthcare Provider,2239,11/17/2015,09/29/2015,Theft,Other Portable Electronic Device,Archived,2015,49
